MatchID,Season,MatchWeek,Date,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,HomeTeamPoints,AwayTeamPoints,HomeGoalScoringForm,AwayGoalScoringForm,HomeGoalsConceded,AwayGoalsConceded,HomeWinningForm,AwayWinningForm,HomeRecentGoalScoringForm,HomeRecentGoalsConceded,HomeRecentWinningForm,AwayRecentGoalScoringForm,AwayRecentGoalsConceded,AwayRecentWinningForm,HomeDaysSinceLastMatch,AwayDaysSinceLastMatch,HomeEloBefore,HomeEloAfter,AwayEloBefore,HomeTiltBefore,AwayTiltBefore,Matchup,H2H_TotalMatches,H2H_HomeGoalsScored,H2H_AwayGoalsScored,H2H_HomeWinRate,HomeGoalDifferenceForm,AwayGoalDifferenceForm,HomeSeasonToDateGoalsScored,HomeSeasonToDateGoalsConceded,HomeSeasonToDateGoalDifference,HomeSeasonToDatePoints,AwaySeasonToDateGoalsScored,AwaySeasonToDateGoalsConceded,AwaySeasonToDateGoalDifference,AwaySeasonToDatePoints,HomeAvgShotsTaken,HomeAvgShotsOnTarget,HomeAvgCornersTaken,AwayAvgShotsTaken,AwayAvgShotsOnTarget,AwayAvgCornersTaken
2000-2001_Ipswich_Sunderland,2000-2001,2,2000-08-26,Ipswich,Sunderland,1,0,H,0.0,0.0,D,14.0,9.0,5.0,3.0,7.0,6.0,10.0,12.0,1.0,1.0,0.0,0.0,3,0,1.0,2.0,1.0,4.0,1.0,0.0,1.0,2.0,0.5,1.5,2.0,1.5,4.0,3.0,1481.2302464471095,0,1492.3406297622935,1.0040328825350242,1.0113410074035898,Ipswich vs Sunderland,0,0.0,0.0,0.0,-1.0,-0.5,2.0,4.0,-2.0,1.0,3.0,4.0,-1.0,3.0,14.0,6.5,4.0,8.5,3.0,2.5
2000-2001_Man City_Coventry,2000-2001,2,2000-08-26,Man City,Coventry,1,2,A,0.0,2.0,A,14.0,9.0,5.0,8.0,5.0,5.0,7.0,12.0,2.0,3.0,0.0,0.0,0,3,4.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,1.5,1.5,2.0,1.5,3.0,3.0,1494.803263759958,0,1494.0007179864895,1.0339487833206065,1.0111057408750768,Man City vs Coventry,0,0.0,0.0,0.0,-1.0,-0.5,4.0,6.0,-2.0,3.0,3.0,4.0,-1.0,3.0,11.5,7.0,6.5,6.5,4.0,6.5
2000-2001_Middlesbrough_Leeds,2000-2001,2,2000-08-26,Middlesbrough,Leeds,1,2,A,0.0,2.0,A,15.0,16.0,8.0,11.0,4.0,8.0,12.0,20.0,2.0,0.0,0.0,0.0,0,3,1.0,1.2,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,3.0,4.0,7.0,1521.8454479094432,0,1518.1812801401445,1.0038172509351109,0.9947144240077445,Middlesbrough vs Leeds,0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,0.0,2.0,3.0,14.0,7.5,4.5,17.0,8.0,6.0
2000-2001_Newcastle_Tottenham,2000-2001,2,2000-08-26,Newcastle,Tottenham,2,0,H,1.0,0.0,H,15.0,10.0,6.0,2.0,4.0,2.0,13.0,10.0,0.0,0.0,0.0,0.0,3,0,3.0,1.0,2.0,1.0,3.0,1.0,1.5,2.0,1.5,2.0,1.0,2.0,3.0,4.0,1495.3570885514268,0,1520.5809589617495,1.0112625852274189,1.0038172509351109,Newcastle vs Tottenham,0,0.0,0.0,0.0,-0.5,1.0,3.0,4.0,-1.0,3.0,4.0,2.0,2.0,4.0,9.0,5.0,5.0,15.5,5.0,4.0
2000-2001_Southampton_Liverpool,2000-2001,2,2000-08-26,Southampton,Liverpool,3,3,D,0.0,1.0,A,14.0,9.0,7.0,4.0,7.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0,2.0,2.0,0.0,0.0,1.5,2.0,0.5,0.5,1.0,1.5,3.0,5.0,1483.8980488047137,0,1493.1234196015519,1.0111057408750768,0.9825129051856037,Southampton vs Liverpool,0,0.0,0.0,0.0,-0.5,-0.5,3.0,4.0,-1.0,1.0,1.0,2.0,-1.0,3.0,12.5,5.0,7.0,11.5,7.0,8.5
2000-2001_Arsenal_Charlton,2000-2001,2,2000-08-26,Arsenal,Charlton,5,3,H,1.0,2.0,A,18.0,7.0,9.0,4.0,8.0,3.0,12.0,15.0,0.0,1.0,0.0,0.0,3,0,2.0,0.0,0.0,3.0,3.0,0.0,1.0,0.5,1.5,2.0,1.5,1.5,5.0,3.0,1506.8765803984481,0,1500.1880401359113,0.9825129051856037,1.0114291882749467,Arsenal vs Charlton,0,0.0,0.0,0.0,0.5,0.5,2.0,1.0,1.0,3.0,4.0,3.0,1.0,3.0,15.5,9.5,9.5,12.5,9.0,5.5
2000-2001_Bradford_Leicester,2000-2001,2,2000-08-26,Bradford,Leicester,0,0,D,0.0,0.0,D,8.0,13.0,4.0,8.0,6.0,8.0,11.0,12.0,1.0,2.0,0.0,0.0,1,1,2.0,1.0,0.0,0.0,3.0,3.0,1.0,0.5,1.5,0.5,0.0,2.0,4.0,3.0,1507.2004542696302,0,1514.3177377861773,0.9819776122370162,0.9675837722366107,Bradford vs Leicester,0,0.0,0.0,0.0,0.5,0.5,2.0,1.0,1.0,3.0,1.0,0.0,1.0,4.0,7.5,2.5,3.5,4.5,3.0,5.0
2000-2001_West Ham_Man United,2000-2001,2,2000-08-26,West Ham,Man United,2,2,D,0.0,1.0,A,17.0,8.0,8.0,5.0,7.0,5.0,12.0,9.0,1.0,0.0,0.0,0.0,1,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.5,0.0,1.5,0.5,2.0,3.0,4.0,1465.3570885514268,0,1518.7697535528905,1.0111677657703932,0.9893971154075212,West Ham vs Man United,0,0.0,0.0,0.0,-1.5,1.0,2.0,5.0,-3.0,0.0,3.0,1.0,2.0,4.0,14.5,8.5,9.0,17.0,7.5,6.5
2000-2001_Aston Villa_Chelsea,2000-2001,2,2000-08-27,Aston Villa,Chelsea,1,1,D,1.0,1.0,D,12.0,11.0,9.0,7.0,7.0,10.0,13.0,12.0,0.0,1.0,0.0,0.0,1,1,1.4,0.0,1.2,2.0,1.6,0.0,0.0,0.0,1.0,2.0,2.0,1.5,8.0,5.0,1502.1438935222513,0,1498.1247193927657,0.98,1.0185632440045778,Aston Villa vs Chelsea,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,3.0,5.0,3.0,4.0,15.5,8.0,5.5
2000-2001_Leeds_Man City,2000-2001,3,2000-09-05,Leeds,Man City,1,2,A,0.0,2.0,A,6.0,8.0,1.0,3.0,9.0,4.0,18.0,24.0,2.0,2.0,0.0,0.0,0,3,2.0,0.0,0.0,4.0,3.0,0.0,2.0,0.5,3.0,1.6666666666666667,2.6666666666666665,1.0,10.0,10.0,1535.4798979523302,0,1477.6254406137448,0.9968078389577265,1.0350990141549057,Leeds vs Man City,0,0.0,0.0,0.0,1.5,-0.9999999999999998,4.0,1.0,3.0,6.0,5.0,8.0,-3.0,3.0,16.5,9.5,7.0,12.333333333333334,6.333333333333333,6.0
